State,Date,Handle,Revenue,Hold,Taxes
NY,19-Jul,$ -,"$349,468 ",--,"$34,947 "
NY,19-Aug,$ -,"$828,152 ",--,"$82,815 "
NY,19-Sep,$ -,"$2,283,865 ",--,"$228,387 "
NY,19-Oct,$ -,"$2,233,227 ",--,"$223,323 "
NY,19-Nov,$ -,"$1,308,296 ",--,"$130,830 "
NY,19-Dec,$ -,"$780,418 ",--,"$78,042 "
