Date,Handle,Revenue,Hold,Taxes
Oct-19,"$5,603,136 ","$218,107 ",3.90%,"$196,296 "
Nov-19,"$17,089,383 ","$943,687 ",5.50%,"$849,318 "
Dec-19,"$22,375,049 ","$1,632,412 ",7.30%,"$1,469,171 "
