Date,Handle,Revenue,Hold,Taxes
Jul-19,$ -,"$349,468 ",--,"$34,947 "
Aug-19,$ -,"$828,152 ",--,"$82,815 "
Sep-19,$ -,"$2,283,865 ",--,"$228,387 "
Oct-19,$ -,"$2,233,227 ",--,"$223,323 "
Nov-19,$ -,"$1,308,296 ",--,"$130,830 "
Dec-19,$ -,"$780,418 ",--,"$78,042 "
