State,Date,Handle,Revenue,Hold,Taxes
IN,19-Sep,"$35,215,416 ","$8,558,974 ",24.30%,"$813,103 "
IN,19-Oct,"$91,697,393 ","$11,538,533 ",12.60%,"$1,096,161 "
IN,19-Nov,"$147,276,912 ","$10,593,321 ",7.20%,"$1,006,365 "
IN,19-Dec,"$161,808,924 ","$12,068,114 ",7.50%,"$1,146,471 "
