Date,Handle,Revenue,Hold,Taxes
Aug-19,"$8,756,246 ","$2,161,688 ",25.20%,"$145,914 "
Sep-19,"$38,528,921 ","$4,956,347 ",12.90%,"$334,553 "
Oct-19,"$46,500,443 ","$5,658,243 ",12.20%,"$381,931 "
Nov-19,"$59,344,806 ","$3,599,750 ",6.10%,"$242,983 "
Dec-19,"$59,258,838 ","$2,904,257 ",4.90%,"$196,037 "
